1
452.1611,388.0569,63.0204,50.7708
451.0822,389.3694,69.4091,48.6428
452.5529,388.6226,76.5300,46.7569
453.1362,388.2213,79.7426,45.4352
451.9536,389.3832,82.5531,44.9370
450.7408,389.2792,84.4698,44.6849
453.8395,389.3574,86.7357,43.9908
455.0201,389.8308,87.1580,44.0314
456.2461,389.4072,86.1810,43.9838
458.2536,389.5389,85.0005,44.4004
462.7903,389.6830,84.0389,45.7909
466.7101,388.6093,82.3218,45.7125
470.9924,388.6257,81.1639,46.5364
473.6328,389.7775,81.4974,47.9724
479.7695,390.1057,82.4114,48.0288
485.4849,389.7025,83.4537,47.4636
486.9942,388.8161,84.7271,46.7758
490.2576,388.4066,87.7135,45.5783
490.5244,387.8511,87.9366,45.1022
490.2370,388.5786,87.8709,44.8973
491.7112,389.2736,87.6895,44.3995
494.1064,388.6053,86.8809,44.0552
495.0742,388.1859,86.9490,43.9643
496.2845,388.4927,86.8253,43.7991
498.5078,389.1401,84.6326,43.8955
504.2550,389.2599,82.5338,43.8426
508.3265,388.7513,81.0077,44.4335
511.2894,386.9795,80.3690,45.3516
514.5915,386.5382,79.5577,46.2338
516.9574,386.4818,78.7728,46.7504
520.0882,385.5551,77.3146,47.4208
523.7679,384.9038,75.7804,47.6540
524.8304,384.0421,75.1066,48.1050
527.2857,383.3936,73.6388,47.7928
528.1600,384.4279,72.1981,47.3602
531.0698,383.4677,70.2081,47.1954
533.8089,384.7158,67.7243,46.9976
536.3804,383.0348,65.0787,47.7914
539.7233,383.7296,62.2023,48.2338
540.8210,382.8016,60.2012,49.2949
543.0111,382.7896,58.3842,49.4529
544.8730,382.3325,56.5069,50.4483
547.0707,381.6768,54.7264,51.0147
549.5102,382.5956,52.7181,52.0294
550.9037,381.9688,51.4482,51.9880
550.7955,382.5906,50.4390,51.9853
550.5406,382.1573,50.2189,52.0050
550.6256,381.9666,50.1203,51.9998
550.4563,381.2038,49.2677,52.2312
551.3306,380.5929,47.8380,52.3290
552.2708,380.0498,46.2944,52.6667
554.3157,380.1369,43.9938,53.7712
553.7974,378.6652,42.5529,54.0751
555.5279,379.0805,41.0199,54.5190
557.2690,379.3033,39.3915,55.3832
558.6093,379.1377,38.2847,55.4787
559.0775,378.9283,37.2536,55.5916
559.9900,378.8986,36.3746,55.1614
561.0400,379.0913,35.9599,54.8345
560.8303,377.8402,35.5040,53.9329
560.2790,379.2226,34.7433,54.6858
558.7015,379.4799,33.7953,54.2842
557.3922,385.4194,33.3514,52.0304
555.3677,382.5096,31.6506,52.6303
554.2468,383.4055,30.5835,53.1676
552.5480,386.1894,30.2618,51.2003
550.9166,385.2374,29.9397,50.1957
549.5938,387.3791,30.5275,47.9687
546.1807,386.8285,31.3186,47.8467
545.7180,386.2685,32.1191,48.0183
542.3455,388.8785,33.5985,45.6597
538.5157,388.9028,34.0776,44.5039
536.4890,394.2525,35.7049,41.5369
534.7762,395.3167,37.0789,38.7699
532.7779,395.0508,36.8875,37.7024
530.0586,395.3645,36.1456,36.7046
527.9717,393.3270,35.7806,35.9893
527.7706,393.9554,35.7177,34.8900
525.8076,394.4898,35.7544,34.3348
524.8234,394.6991,34.9629,34.9690
523.5576,393.6084,34.4375,35.5570
521.8450,394.5556,33.5391,36.3017
521.4267,394.0375,33.1002,36.6457
520.3027,391.4302,32.3460,38.1987
519.6159,389.9642,31.2246,41.0741
518.8751,390.7573,31.0016,41.6603
517.5194,391.2236,31.0448,41.7860
516.4493,390.6664,31.2333,41.3287
516.1685,390.6380,31.4746,41.6509
515.7679,389.1482,31.1176,42.2887
515.7016,389.5677,30.7571,42.3309
514.5345,389.7508,30.4881,42.3538
515.1104,389.4734,30.4430,42.4518
515.0706,389.0873,30.6385,43.0075
514.9063,389.9515,30.8903,42.7465
